City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,nova vicosa,-17.8919,-39.3719,84.78,73,25,11.54,BR,1710617179
130,caluula,11.9661,50.7569,78.58,76,15,12.66,SO,1710617275
131,lompoc,34.6391,-120.4579,69.01,45,0,8.05,US,1710617275
132,klyuchi,52.2667,79.1667,24.93,86,100,15.01,RU,1710617276
133,saldanha,-33.0117,17.9442,64.45,78,76,21.27,ZA,1710617277
134,papao,-17.75,-149.55,87.48,73,99,8.43,PF,1710617277
135,talnakh,69.4865,88.3972,11.21,95,100,12.91,RU,1710617277
136,eynesil,41.0645,39.1438,49.19,94,61,3.62,TR,1710617278
137,jieshi,22.8134,115.8257,69.44,90,100,5.79,CN,1710617278
138,port lincoln,-34.7333,135.8667,62.98,92,4,8.05,AU,1710617279
139,luwingu,-10.2621,29.9271,65.7,94,100,2.46,ZM,1710617279
140,prado,-17.3411,-39.2208,83.82,75,3,10.13,BR,1710617280
141,lawton,34.6087,-98.3903,55.31,82,100,3.44,US,1710616682
142,rawai,7.7797,98.3253,78.91,74,64,16.11,TH,1710617281
143,la passe,45.5549,-0.8967,59.23,79,100,6.69,FR,1710617281
144,ketchikan,55.3422,-131.6461,47.34,87,0,0.0,US,1710617282
145,sorong,-0.8833,131.25,80.92,81,100,7.29,ID,1710617282
146,amga,60.8953,131.9608,-23.85,100,100,1.32,RU,1710617283
147,touros,-5.1989,-35.4608,84.38,74,96,12.75,BR,1710617283
148,alofi,-19.0595,-169.9187,80.49,89,100,2.3,NU,1710617283
149,lobva,59.1854,60.5185,34.48,95,100,11.63,RU,1710617284
150,primorsko-akhtarsk,46.0497,38.1747,44.76,76,100,7.78,RU,1710617284
151,lesnikovo,55.2822,65.3175,30.63,91,66,7.47,RU,1710617285
152,ilulissat,69.2167,-51.1,5.02,85,75,2.3,GL,1710617285
153,badger,64.8,-147.5333,8.47,65,100,3.44,US,1710617170
154,padang,-0.9492,100.3543,75.25,86,79,3.36,ID,1710617102
155,hasaki,35.7333,140.8333,57.6,76,100,23.02,JP,1710617286
156,manokwari,-0.8667,134.0833,78.66,82,97,12.62,ID,1710617287
157,anadyr,64.75,177.4833,-7.1,77,40,2.24,RU,1710617003
158,chibougamau,49.9168,-74.3659,31.62,47,0,9.22,CA,1710617288
159,vryburg,-26.9566,24.7284,74.43,24,16,7.78,ZA,1710617288
160,mwinilunga,-11.7358,24.4293,64.8,97,91,2.39,ZM,1710617288
161,gargalianoi,37.0667,21.6333,54.36,77,31,5.84,GR,1710617289
162,vila velha,-20.3297,-40.2925,87.75,81,0,14.97,BR,1710617290
163,bilibino,68.0546,166.4372,-12.03,93,32,3.65,RU,1710617291
164,phalaborwa,-23.943,31.1411,87.08,51,0,6.13,ZA,1710617292
165,brisas de zicatela,15.8369,-97.0419,86.52,54,0,9.22,MX,1710617292
166,moron,-34.6534,-58.6198,82.99,74,17,14.0,AR,1710617176
167,pavlodar,52.3,76.95,21.0,79,0,11.18,KZ,1710617293
168,wenshui,28.4506,106.5267,56.03,95,100,2.19,CN,1710617293
169,kenai,60.5544,-151.2583,26.69,68,100,11.5,US,1710616996
170,morshansk,53.4435,41.8107,23.05,96,11,5.46,RU,1710617294
171,turaif,31.6725,38.6637,57.45,24,75,4.61,SA,1710617295
172,tannum sands,-23.9504,151.3693,71.74,78,75,8.05,AU,1710617295
173,callao,-12.0667,-77.15,77.29,69,20,9.22,PE,1710617240
174,cabo san lucas,22.8909,-109.9124,79.61,56,20,8.05,MX,1710617200
175,patiala,30.3267,76.4003,60.04,21,69,2.75,IN,1710617296
176,midland,31.9974,-102.0779,54.27,89,100,8.05,US,1710617049
177,polyarnyy,69.1989,33.4478,20.62,95,53,23.09,RU,1710617297
178,fomboni,-12.28,43.7425,85.86,73,99,8.97,KM,1710617298
179,tamandare,-8.7597,-35.1047,85.21,67,24,9.01,BR,1710617292
180,tazovsky,67.4667,78.7,8.58,89,100,22.77,RU,1710617299
181,simpang,-1.2667,104.0833,75.49,95,100,1.83,ID,1710617299
182,passos,-20.7189,-46.6097,81.64,60,83,1.57,BR,1710617299
183,panaba,21.2833,-88.2667,97.57,27,5,10.42,MX,1710617300
184,ghadamis,30.1337,9.5007,68.5,26,0,6.55,LY,1710617300
185,vorgashor,67.5833,63.95,4.35,91,100,8.48,RU,1710617301
186,keflavik,64.0049,-22.5624,39.63,93,100,12.66,IS,1710617301
187,ain leuh,33.2921,-5.3384,60.96,35,100,0.34,MA,1710617302
188,palu,-0.8917,119.8707,75.83,97,100,2.55,ID,1710617079
189,arteche,12.2645,125.4048,78.73,71,100,8.61,PH,1710617302
190,cidreira,-30.1811,-50.2056,77.13,85,86,8.16,BR,1710617303
191,yanbu,24.0891,38.0637,78.84,61,0,2.3,SA,1710617303
192,quincy,42.2529,-71.0023,59.11,57,75,17.27,US,1710617304
193,howard springs,-12.497,131.047,82.31,91,100,12.73,AU,1710617304
194,oqtosh,39.9214,65.9253,44.26,46,9,13.2,UZ,1710617305
195,ilhabela,-23.7781,-45.3581,84.43,76,84,4.5,BR,1710617305
196,mildura,-34.2,142.15,65.07,89,48,10.29,AU,1710617305
197,labuan,5.2767,115.2417,79.16,94,20,0.0,MY,1710617306
198,labytnangi,66.6572,66.4183,5.67,93,100,7.25,RU,1710617299
199,mount pearl,47.5166,-52.7813,35.33,85,75,8.05,CA,1710617307
200,gadzhiyevo,69.2551,33.3362,21.0,94,38,26.8,RU,1710617307
201,lima duarte,-21.8425,-43.7931,79.75,83,89,1.43,BR,1710617308
202,naryn,41.4287,75.9911,5.18,65,0,10.83,KG,1710617308
203,edd,13.9297,41.6925,86.95,56,4,17.78,ER,1710617308
204,fisterra,42.9049,-9.2629,57.74,97,100,19.84,ES,1710617309
205,harnai,30.1005,67.9374,65.37,27,100,2.42,PK,1710617057
206,malango,-2.9627,119.9001,68.58,94,98,2.17,ID,1710617310
207,remire-montjoly,4.9167,-52.2667,87.84,66,75,16.11,GF,1710617310
208,ancud,-41.8697,-73.8203,55.09,62,93,7.99,CL,1710617311
209,stanley,54.868,-1.6985,45.99,87,40,5.75,GB,1710617311
210,changsha,28.2,112.9667,59.16,95,100,3.24,CN,1710617312
211,acarau,-2.8856,-40.12,80.71,86,100,8.95,BR,1710617312
212,alta,69.9689,23.2717,18.66,71,40,21.0,NO,1710617313
213,williams lake,52.1415,-122.1445,53.17,50,20,6.91,CA,1710617313
214,itambacuri,-18.0311,-41.685,88.5,59,0,4.07,BR,1710617314
215,sandakan,5.8402,118.1179,78.48,94,20,0.0,MY,1710617314
216,fort st. john,56.2499,-120.8529,46.29,61,75,9.22,CA,1710617314
217,kavaratti,10.5669,72.642,81.7,70,5,10.92,IN,1710617315
218,tabou,4.423,-7.3528,82.98,80,0,7.16,CI,1710617315
219,newman,37.3138,-121.0208,68.25,44,5,4.0,US,1710617316
220,bargersville,39.5209,-86.1678,62.62,44,40,11.5,US,1710617316
221,slupsk,54.4641,17.0287,40.44,79,6,17.9,PL,1710617316
222,nizhneudinsk,54.9076,99.0276,14.58,91,100,3.8,RU,1710617317
223,conduaga,8.862,117.4893,76.5,75,67,2.21,PH,1710617317
224,walvis bay,-22.9575,14.5053,61.75,82,0,6.91,NA,1710617318
225,saipan,15.1355,145.701,79.5,73,20,12.66,MP,1710617167
226,imbituba,-28.24,-48.6703,83.48,79,26,12.06,BR,1710617023
227,cill airne,52.05,-9.5167,52.2,95,100,5.99,IE,1710617319
228,inirida,3.8653,-67.9239,84.16,74,100,2.55,CO,1710617319
229,meulaboh,4.1363,96.1285,77.05,89,100,4.7,ID,1710617320
230,punta arenas,-53.15,-70.9167,46.51,71,40,24.16,CL,1710617237
231,horta,38.5333,-28.6333,62.24,77,40,19.57,PT,1710617255
232,sitka,57.0531,-135.33,46.29,87,75,0.0,US,1710617321
233,haiku-pauwela,20.9219,-156.3051,74.21,76,20,10.36,US,1710617321
234,plastun,44.7561,136.2939,30.87,98,100,3.15,RU,1710617322
235,petropavlovsk-kamchatsky,53.0452,158.6483,28.99,86,75,50.0,RU,1710617322
236,masindi port,1.6961,32.0861,75.88,32,10,2.39,UG,1710617323
237,boguchany,58.3814,97.4531,17.85,81,100,8.99,RU,1710617323
238,banchory,57.0517,-2.4882,41.81,88,100,12.41,GB,1710617081
239,sabzevar,36.2126,57.6819,61.39,40,98,3.33,IR,1710617324
240,vila franca do campo,37.7167,-25.4333,64.89,99,100,8.46,PT,1710617324
241,mermoz boabab,14.7065,-17.4758,93.76,61,0,9.22,SN,1710617325
242,mount gambier,-37.8333,140.7667,61.57,76,15,6.22,AU,1710617325
243,shiyan,32.6475,110.7781,63.41,79,100,5.3,CN,1710617326
244,okhotsk,59.3833,143.3,17.64,89,100,13.29,RU,1710617326
245,denia,38.8408,0.1057,64.26,88,77,10.11,ES,1710617326
246,nemuro,43.3236,145.575,30.45,79,100,2.33,JP,1710617327
247,pirallahi,40.4723,50.333,46.54,89,14,19.95,AZ,1710617327
248,lospalos,-8.5186,127.0025,74.84,89,100,8.97,TL,1710617328
249,upata,8.0086,-62.3989,98.49,28,100,9.1,VE,1710617328
250,saint-pierre,-21.3393,55.4781,78.48,78,0,4.61,RE,1710617329
251,villa gesell,-37.2639,-56.973,74.05,65,10,27.22,AR,1710617212
252,tambopata,-12.7333,-69.1833,94.89,71,40,8.05,PE,1710617330
253,prince george,53.9166,-122.753,50.29,57,0,4.61,CA,1710617330
254,shingu,33.7333,135.9833,49.69,76,0,6.24,JP,1710617331
255,kargasok,59.0556,80.8572,30.96,97,100,11.99,RU,1710617331
256,ternate,0.8,127.4,80.13,84,90,7.23,ID,1710617331
